organ,protein_seqid,kadrc_mean,kadrc_std
Adipose,15386-7,4.480768852,0.200789426
Adipose,8484-24,4.332205717,0.332756537
Adipose,3554-24,3.660854156,0.208217787
Adipose,6578-29,3.203348007,0.110521021
Adipose,18830-1,3.907176963,0.186857234
Artery,4455-89,2.583781339,0.137604029
Artery,2607-54,2.682411777,0.112716531
Artery,4807-13,2.873129855,0.320446948
Artery,14747-9,3.005500128,0.150990618
Artery,3280-49,2.872976372,0.096797263
Artery,9561-21,2.523695185,0.123809425
Artery,3339-33,3.936872317,0.18336872
Artery,14111-15,2.635464833,0.122038815
Artery,13101-60,3.375323354,0.116678723
Artery,3284-75,3.591827062,0.241007694
Artery,13740-51,3.384681062,0.110186985
Artery,6520-87,3.737391089,0.138403613
Artery,10889-2,2.924314132,0.166456505
Artery,8304-50,3.880653228,0.144526378
Brain,2974-61,4.486161416,0.074216804
Brain,11168-3,2.699538901,0.129356254
Brain,10731-10,3.332380123,0.078003734
Brain,8374-5,3.52140055,0.213379484
Brain,9386-42,2.645692573,0.112211663
Brain,17775-8,3.115116913,0.166737139
Brain,9313-27,3.167521654,0.156353417
Brain,12774-12,2.610396513,0.18750869
Brain,14614-41,3.766823757,0.18669125
Brain,7785-1,2.931466654,0.183319633
Brain,15622-13,3.29039631,0.121891681
Brain,15641-20,2.890460258,0.073016969
Brain,5111-15,3.546325806,0.11813324
Brain,11280-6,2.767744854,0.114557651
Brain,8003-57,2.583966619,0.138347517
Brain,9930-48,2.600668625,0.215922185
Brain,15511-37,3.099643542,0.153755188
Brain,18316-75,2.995065342,0.098791041
Brain,11116-16,3.60287945,0.087133571
Brain,13986-6,2.895817704,0.175907138
Brain,14291-53,2.403766842,0.169453748
Brain,10939-16,2.500274821,0.137848065
Brain,14271-23,3.434003464,0.25097649
Brain,3296-92,3.220999056,0.117185443
Brain,4557-61,2.636894147,0.058378947
Brain,5490-53,3.201652561,0.06998737
Brain,10900-272,3.021215625,0.167605433
Brain,12697-30,3.49773765,0.246503282
Brain,6280-11,3.487765768,0.194602558
Brain,10643-16,3.24002652,0.136457967
Brain,8908-14,3.151574332,0.096532427
Brain,12479-50,3.107984633,0.202895168
Brain,8285-64,2.385232829,0.134955937
Brain,9118-7,3.296820095,0.179870276
Brain,12669-30,2.540218036,0.068390797
Brain,6966-144,2.696403129,0.073260468
Brain,6543-182,3.089834512,0.124091185
Brain,19370-30,3.222897103,0.078339694
Brain,13948-50,2.795922095,0.176340318
Brain,8810-26,1.877441337,0.129829585
Brain,5614-44,2.817270764,0.106016541
Brain,6609-22,3.266627501,0.173482368
Brain,6586-19,3.709816658,0.127240249
Brain,12683-156,2.723979789,0.104932257
Brain,8971-9,3.175538046,0.197106834
Brain,7995-16,2.710401878,0.106076512
Brain,8357-43,2.9979712,0.192212763
Brain,17721-82,2.951222448,0.124187113
Brain,10933-107,3.009339389,0.063233147
Brain,6918-183,3.032714532,0.141476823
Brain,3630-27,2.969228359,0.135581157
Brain,13529-39,2.962010689,0.069700573
Brain,6361-49,2.685725748,0.131534969
Brain,6904-14,2.804075924,0.105156874
Brain,8859-51,2.726460281,0.131819633
Brain,6371-50,2.79397006,0.11276074
